regionRes,provRes,cityMunRes,regionResGeo,psgc
,,,,
Region IV-A: CALABARZON,RIZAL,CAINTA,Region IV-A,PH045805000
NCR,NCR,CITY OF PARAÑAQUE,National Capital Region,PH137604000
NCR,NCR,CITY OF MALABON,National Capital Region,PH137502000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,JOSEFINA,Region IX,PH097337000
NCR,NCR,CITY OF MANILA,National Capital Region,PH133914000
Region IV-A: CALABARZON,RIZAL,SAN MATEO,Region IV-A,PH045811000
NCR,NCR,CITY OF NAVOTAS,National Capital Region,PH137503000
NCR,NCR,CITY OF MARIKINA,National Capital Region,PH137402000
NCR,NCR,CITY OF VALENZUELA,National Capital Region,PH137504000
Region IV-A: CALABARZON,RIZAL,RODRIGUEZ (MONTALBAN),Region IV-A,PH045808000
NCR,NCR,QUEZON CITY,National Capital Region,PH137404000
Region V: Bicol Region,CAMARINES SUR,NAGA CITY,Region V,PH051724000
Region IV-A: CALABARZON,CAVITE,MAGALLANES,Region IV-A,PH042112000
Region XI: Davao Region,DAVAO DEL SUR,DAVAO CITY,Region XI,PH112402000
Region IV-A: CALABARZON,LAGUNA,PAGSANJAN,Region IV-A,PH043419000
Region XI: Davao Region,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,Region XI,PH112317000
NCR,NCR,TAGUIG CITY,National Capital Region,PH137607000
Region VII: Central Visayas,CEBU,TOLEDO CITY,Region VII,PH072251000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,PAGADIAN CITY (CAPITAL),Region IX,PH097322000
Region I: Ilocos Region,PANGASINAN,SANTO TOMAS,Region I,PH015540000
NCR,NCR,PASAY CITY,National Capital Region,PH137605000
Region III: Central Luzon,BULACAN,SANTA MARIA,Region III,PH031423000
Region VII: Central Visayas,CEBU,BANTAYAN,Region VII,PH072209000
Region III: Central Luzon,BATAAN,CITY OF BALANGA (CAPITAL),Region III,PH030803000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,CITY OF KORONADAL (CAPITAL),Region XII,PH126306000
Region V: Bicol Region,ALBAY,DARAGA (LOCSIN),Region V,PH050503000
NCR,NCR,CITY OF MANDALUYONG,National Capital Region,PH137401000
Region III: Central Luzon,BULACAN,PLARIDEL,Region III,PH031417000
BARMM,MAGUINDANAO,PARANG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153811000
Region IV-A: CALABARZON,RIZAL,CITY OF ANTIPOLO (CAPITAL),Region IV-A,PH045802000
