regionRes,provRes,regionResGeo,psgc
NCR,NCR,National Capital Region,PH137400000
Region IV-A: CALABARZON,LAGUNA,Region IV-A,PH043400000
Region IV-A: CALABARZON,CAVITE,Region IV-A,PH042100000
Region IV-A: CALABARZON,BATANGAS,Region IV-A,PH041000000
Region III: Central Luzon,NUEVA ECIJA,Region III,PH034900000
Region III: Central Luzon,BULACAN,Region III,PH031400000
Region I: Ilocos Region,ILOCOS SUR,Region I,PH012900000
Region VII: Central Visayas,CEBU,Region VII,PH072200000
Region IV-A: CALABARZON,RIZAL,Region IV-A,PH045800000
Region II: Cagayan Valley,ISABELA,Region II,PH023100000
Region VI: Western Visayas,ILOILO,Region VI,PH063000000
Region II: Cagayan Valley,CAGAYAN,Region II,PH021500000
CARAGA,SURIGAO DEL NORTE,Region XIII,PH166700000
Region XI: Davao Region,DAVAO DE ORO,Region XI,PH118200000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,Region XII,PH126300000
Region II: Cagayan Valley,NUEVA VIZCAYA,Region II,PH025000000
Region IV-B: MIMAROPA,PALAWAN,Region IV-B,PH175300000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),Region VIII,PH086000000
Region V: Bicol Region,MASBATE,Region V,PH054100000
Region III: Central Luzon,ZAMBALES,Region III,PH037100000
Region IV-A: CALABARZON,QUEZON,Region IV-A,PH045600000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,Region IX,PH097300000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,Region VIII,PH086400000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,Region IX,PH098300000
Region III: Central Luzon,AURORA,Region III,PH037700000
BARMM,MAGUINDANAO,Bangsamoro Autonomous Region in Muslim Mindanao,PH153800000
Region VI: Western Visayas,NEGROS OCCIDENTAL,Region VI,PH064500000
Region XI: Davao Region,DAVAO DEL SUR,Region XI,PH112400000
Region III: Central Luzon,BATAAN,Region III,PH030800000
Region X: Northern Mindanao,MISAMIS ORIENTAL,Region X,PH104300000
BARMM,LANAO DEL SUR,Bangsamoro Autonomous Region in Muslim Mindanao,PH153600000
Region VI: Western Visayas,AKLAN,Region VI,PH060400000
Region VIII: Eastern Visayas,BILIRAN,Region VIII,PH087800000
Region VII: Central Visayas,BOHOL,Region VII,PH071200000
Region V: Bicol Region,CAMARINES SUR,Region V,PH051700000
CARAGA,SURIGAO DEL SUR,Region XIII,PH166800000
Region XI: Davao Region,DAVAO OCCIDENTAL,Region XI,PH118600000
CARAGA,AGUSAN DEL NORTE,Region XIII,PH160200000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,Region X,PH104200000
Region V: Bicol Region,ALBAY,Region V,PH050500000
Region III: Central Luzon,PAMPANGA,Region III,PH035400000
CAR,ABRA,Cordillera Administrative Region,PH140100000
Region X: Northern Mindanao,LANAO DEL NORTE,Region X,PH103500000
Region VIII: Eastern Visayas,LEYTE,Region VIII,PH083700000
Region XI: Davao Region,DAVAO ORIENTAL,Region XI,PH112500000
CAR,KALINGA,Cordillera Administrative Region,PH143200000
Region X: Northern Mindanao,BUKIDNON,Region X,PH101300000
BARMM,BASILAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH150700000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,Region IX,PH097200000
Region V: Bicol Region,CATANDUANES,Region V,PH052000000
Region I: Ilocos Region,PANGASINAN,Region I,PH015500000
Region III: Central Luzon,TARLAC,Region III,PH036900000
Region I: Ilocos Region,LA UNION,Region I,PH013300000
Region VII: Central Visayas,NEGROS ORIENTAL,Region VII,PH074600000
CARAGA,DINAGAT ISLANDS,Region XIII,PH168500000
Region XI: Davao Region,DAVAO DEL NORTE,Region XI,PH112300000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,Region XII,PH126500000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),Region XII,PH124700000
Region VI: Western Visayas,CAPIZ,Region VI,PH061900000
BARMM,TAWI-TAWI,Bangsamoro Autonomous Region in Muslim Mindanao,PH157000000
Region I: Ilocos Region,ILOCOS NORTE,Region I,PH012800000
Region V: Bicol Region,CAMARINES NORTE,Region V,PH051600000
Region VI: Western Visayas,ANTIQUE,Region VI,PH060600000
Region XII: SOCCSKSARGEN,SARANGANI,Region XII,PH128000000
CAR,IFUGAO,Cordillera Administrative Region,PH142700000
CARAGA,AGUSAN DEL SUR,Region XIII,PH160300000
Region IV-B: MIMAROPA,ORIENTAL MINDORO,Region IV-B,PH175200000
Region IV-B: MIMAROPA,ROMBLON,Region IV-B,PH175900000
CAR,BENGUET,Cordillera Administrative Region,PH141100000
CAR,APAYAO,Cordillera Administrative Region,PH148100000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,Region IV-B,PH175100000
Region IV-B: MIMAROPA,MARINDUQUE,Region IV-B,PH174000000
Region V: Bicol Region,SORSOGON,Region V,PH056200000
Region VIII: Eastern Visayas,NORTHERN SAMAR,Region VIII,PH084800000
Region X: Northern Mindanao,CAMIGUIN,Region X,PH101800000
CAR,MOUNTAIN PROVINCE,Cordillera Administrative Region,PH144400000
Region VIII: Eastern Visayas,EASTERN SAMAR,Region VIII,PH082600000
Region II: Cagayan Valley,QUIRINO,Region II,PH025700000
Region VI: Western Visayas,GUIMARAS,Region VI,PH067900000
BARMM,SULU,Bangsamoro Autonomous Region in Muslim Mindanao,PH156600000
